Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
1,Colors Of The Wind - End Title,Vanessa Williams,1994,https://www.youtube.com/watch?v=yQu--h_y33s,9ee0a3e5696c532d6d0a880339a048b58ecf31906f76173f123543b6839b5209,Colors Of The Wind - End Title(From 'Pocahontas'/Soundtrack Version),USWD10110149
2,abcdefu,GAYLE,2021,https://www.youtube.com/watch?v=NaFd8ucHLuo,3973e299ee35226af278a4e9cddd9c82b4de3a36f6073bbd703757fe3f8e8edd,GAYLE - abcdefu (Official Music Video),USAT22103652
3,Leave (Get Out),JoJo,2004,https://www.youtube.com/watch?v=4a8_n52EV6s,5b6d27a678ace1fc57903ac28e4528c4a911305b903e1512eab0275029703cd6,JoJo - Leave (Get Out) (Live),USUYG1353158
4,Shallow,Lady Gaga,2018,https://www.youtube.com/watch?v=bo_efYhYU2A,795c8bd0fe7d674239d0e652b0f3fcb62f142971f29fcb2d44f87f36ea3d61eb,Lady Gaga; Bradley Cooper - Shallow (from A Star Is Born) (Official Music Video),USUM71815945
5,(We're Gonna) Rock Around The Clock,Bill Haley & His Comets,1955,https://www.youtube.com/watch?v=rTFdsdjdt2E,52221367a31bb3731ebc19e3d2b6133e8479c1d758a09f692935278a8dc1167c,NEW [DVD] (We're Gonna) Rock Around The Clock - Bill Haley & His Comets {DES Ste,USMC15486163
6,"Theme From New York, New York",Frank Sinatra,1980,https://www.youtube.com/watch?v=TK0Vdb1RUCk,cef23b8b71c1e275d907dc3bcf5c1a8fccfc0f5dd88c7b9e87dec8e2997b88d0,Frank Sinatra - New York; New York (Live At Budokan Hall; Tokyo; 1985),USRH10801153
7,(Your Love Keeps Lifting Me) Higher & Higher,Jackie Wilson,1967,https://www.youtube.com/watch?v=0GaKMeX7t3c,eb12af2ee91bd7d6c159386b505e969944e1a5c71773bca49ad98f914787bf70,(Your Love Keeps Lifting Me) Higher and Higher - Jackie Wilson - Fred Astaire an,USBWC0010022
8,Sk8er Boi,Avril Lavigne,2002,https://www.youtube.com/watch?v=TIy3n2b7V9k,59dfcb42ed4d9d3ec779a09271ae3887d703661532424322f0863c2b95dda6d0,Avril Lavigne - Sk8er Boi (Official Video),USAR10200229
9,Knock You Down,Keri Hilson,2009,https://www.youtube.com/watch?v=p_RqWocthcc,05975606d7e076b847ae11eacbd49309898c9faac899ec507662abd3314a222f,Keri Hilson - Knock You Down (Official Music Video) ft. Kanye West; Ne-Yo,USUM70955396
10,Can't Stay Away from You,Gloria Estefan,1987,https://www.youtube.com/watch?v=DYweHGwASKU,1abb671986cf70fd176d42ef74282582d68ff0289cf7b7b80c61bdfa2774c6c8,Gloria Estefan - Can't Stay Away From You (Official Video),USSM18700012
11,Sweet Child O' Mine,Guns N' Roses,1987,https://www.youtube.com/watch?v=1w7OgIMMRc4,161c81840cfb83ee8695b4030ab61a26a458cf4affd19755f73eb878cd5736a9,Guns N' Roses - Sweet Child O' Mine (Official Music Video),USGF18714809
12,A Thousand Miles,Vanessa Carlton,2002,https://www.youtube.com/watch?v=Cwkej79U3ek,7baaa1da762eb061cd8b899f4b13d19212ca81734c191e3e29f770f614e24065,Vanessa Carlton - A Thousand Miles,USIR10210955
13,Soul Man,Sam & Dave,1967,https://www.youtube.com/watch?v=S_OX2HwWy-o,3fc4c5ce8dbb4e914998d8ec1a54424f9e962ae46c2390e82920096c797571cf,Sam & Dave - Soul Man (Official Audio),USAT20001065
14,Leader Of The Pack,The Shangri-Las,1964,https://www.youtube.com/watch?v=y9dX41uChIg,1c6774ec987350923b7d9c975f974b93301a63a666c8fd3f905ff68d71eef54d,NEW * Leader Of The Pack - The Shangri-Las {Stereo} 1964,USPR36402725
15,Stuck,Stacie Orrico,2002,https://www.youtube.com/watch?v=gF-Rke2sLPY,73f17d43aee750ea778eeca79384d58e736dcfdf973a5b777fa5722453ea4fa5,Stacie Orrico - Stuck (Official Video) [HD],USFF10218231
16,Stickwitu,The Pussycat Dolls,2005,https://www.youtube.com/watch?v=K1uNjmxJQUo,cbafe47b8ccc92cf20d3ac61c673efca129acd3bd9deaaf19875b0a696dc1275,The Pussycat Dolls - Stickwitu (Official Music Video) ft. Avant,USUM70503127
17,Child in Time,Deep Purple,1970,https://www.youtube.com/watch?v=4wAPTsjhrjM,39ac800ec7286170f4edd5f208594a3d03e26c70e2ed10f4208e0b050ab3b78f,Deep Purple - Child in Time (Official Video) [HQ],GBDXG0600057
