Card#,Artist,Title,URL,Hashed Info,Youtube-Title,Year,Offset
105,The Bangles,Eternal Flame,https://www.youtube.com/watch?v=PSoOFn3wQV4,,The Bangles - Eternal Flame (Official Video),1988,
106,Ricchi E Poveri,Mamma Maria,https://www.youtube.com/watch?v=kB2aezd6ikg,,Roma - Mamma Maria_ Ricchi e Poveri,1982,
107,The Beloved,Sweet Harmony,https://www.youtube.com/watch?v=rP9Z5Pc8cRM,,The Beloved - Sweet Harmony (Official Video),1993,
108,Ozzy Osbourne,Dreamer,https://www.youtube.com/watch?v=LCCiwPEdEpg,,OZZY OSBOURNE - Dreamer (Official Video),2001,
109,Melissa Etheridge,Like The Way I Do,https://www.youtube.com/watch?v=p07GhDsZgz4,,Melissa Etheridge - Like The Way I Do,1988,
110,The Drifters,Save the Last Dance for Me,https://www.youtube.com/watch?v=6ht5FGcSNUM,,The Drifters - Save the Last Dance for Me (1960),1960,
111,Slade,Far Far Away,https://www.youtube.com/watch?v=G76pMAgNZNI,,Slade - Far Far Away (Official Audio),1974,
112,John Kincade,Dreams Are Ten A Penny,https://www.youtube.com/watch?v=T8QTJumrb-s,,John Kincade - Dreams Are Ten A Penny - 1973 - Fitness Center Top-Fit - Best Hit,1972,
113,Nickelback,When We Stand Together,https://www.youtube.com/watch?v=oYT-6UrJbqw,,Nickelback - When We Stand Together [Official Video + Download!],2011,
114,The Buggles,Video Killed The Radio Star - Single Version,https://www.youtube.com/watch?v=ID_xOeAx1QE,,The Buggles - Video Killed The Radio Star - 45rpm - 1979,1979,
115,Leona Lewis,Run,https://www.youtube.com/watch?v=jqpAgMxhx30,,Leona Lewis - Run (Official Video),2008,
116,Bill Withers,Ain't No Sunshine - Single Version,https://www.youtube.com/watch?v=YuKfiH0Scao,,Bill Withers - Ain't No Sunshine (Official Audio),1971,
117,Travis,Why Does It Always Rain On Me?,https://www.youtube.com/watch?v=PXatLOWjr-k,,Travis - Why Does It Always Rain On Me? (Official HD Music Video),1999,
118,Falco,The Sound of Musik,https://www.youtube.com/watch?v=SkA9G4-fYm8,,Falco - The Sound of Musik (Official Video) (HD Version),1986,
119,Sandra,Maria Magdalena,https://www.youtube.com/watch?v=Cu68U1X_kXA,,Sandra Maria Magdalena Fan Made video,1985,
120,Jennifer Rush,Destiny,https://www.youtube.com/watch?v=WXS0YMbUzo4,,Jennifer Rush - Destiny (ZDF Tele-Illustrierte 16.09.1985) (VOD),1985,
121,Roxette,How Do You Do!,https://www.youtube.com/watch?v=nx2iLOvP0rM,,Roxette - How Do You Do!,1992,
122,America,The Last Unicorn,https://www.youtube.com/watch?v=3WcUIJYQSt4,,The Last Unicorn,1982,
123,The Alan Parsons Project,Lucifer,https://www.youtube.com/watch?v=fLZPj-dJfJQ,,Lucifer,1979,
124,Blondie,Maria,https://www.youtube.com/watch?v=xhKKqLX67E8,,Blondie - Maria (Official Video HD),1999,
125,Donna Lewis,I Love You Always Forever,https://www.youtube.com/watch?v=SqdWTeXWvOg,,Donna Lewis - I Love You Always Forever (Official Music Video),1996,
126,Sting,Englishman In New York,https://www.youtube.com/watch?v=d27gTrPPAyk,,Sting - Englishman In New York,1987,
