Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
26,The Next Episode,Dr. Dre,1999,https://www.youtube.com/watch?v=QZXc39hT8t4,a7527c55dadfc32cc0e6929d880a3d6a0a49a2ca55d89b5afdd094ba970cec19,Dr. Dre - The Next Episode (Official Music Video) ft. Snoop Dogg; Kurupt; Nate D,USIR19915078
27,Sprinter,Dave,2023,https://www.youtube.com/watch?v=6-dsntseHAc,71031d3fb64f3a3885d164e37b9ff786300622066dee6639a273a8002044703f,Central Cee : Sprinter (Official Video) Dave | Central Cee New Song | Central Ce,GBUM72305159
28,Cantaloop (Flip Fantasia),Us3,1992,https://www.youtube.com/watch?v=JwBjhBL9G6U,0b3151b191e91e12b0b7a0fc04bc4846df6bc483ac4497b47a385d0002153675,Us3 - Cantaloop (Flip Fantasia) ft. Rahsaan; Gerard Presencer,USBN29300054
29,Can I Kick It?,A Tribe Called Quest,1990,https://www.youtube.com/watch?v=O3pyCGnZzYA,df02576f2bb5a78a255596cda8744a9ba55d450370d6ba6f1552c365ddc35f47,A Tribe Called Quest - Can I Kick It? (Official HD Video),USJI10300400
30,Weck mich auf,Samy Deluxe,2001,https://www.youtube.com/watch?v=I-GUVYbSxgI,566ae4bdcfaca57aa7a6b58f838fce42512eed1fbad68cbec200cb6e2269ff07,Samy Deluxe - Weck mich auf (Official Video),DEA340100197
31,Airwaves,Pashanim,2020,https://www.youtube.com/watch?v=5Irkyyfd88I,065295959b33c216516b3b65babee49ab1b45749018434832ed5e73f93984ee5,Pashanim - Airwaves,DECE72000342
32,Promiscuous,Nelly Furtado,2006,https://www.youtube.com/watch?v=0J3vgcE5i2o,dec64ad6755937810a0cc93bdf6ec8dc09908948625d6f089e34ae2ffc90c9ba,Nelly Furtado - Promiscuous (Official Music Video) ft. Timbaland,USUM70603473
33,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,2021,https://www.youtube.com/watch?v=UTHLKHL_whs,df212388b4e0401ba1d7916845572948c7603716437121f45c1d3d35fa75a007,Lil Nas X; Jack Harlow - INDUSTRY BABY (Official Video),USSM12104539
34,Rockit,Herbie Hancock,1983,https://www.youtube.com/watch?v=GHhD4PD75zY,0df5307ef217d0bcf25242c853a8e0077d9e9fb8e2e32bf205349065c1541c60,Herbie Hancock - Rockit (Official Video),USSM19804808
35,Cherry Lady,Capital Bra,2019,https://www.youtube.com/watch?v=LS9gWsVv5ao,76b939d0f5d1eaeb1c64e83d6a5a5dbf32ef1df0cd1225fbbd6b92dce1ddac24,Capital Bra ft. Dieter Bohlen - Cherry Lady (Official Video) prod. by Bohlen,DECE71900171
36,Break Ya Neck,Busta Rhymes,2001,https://www.youtube.com/watch?v=W7FfCJb8JZQ,ed956a8e107493a946e86f8e824cddce56886cbe1f90979d83433369e8173f05,Busta Rhymes - Break Ya Neck (Official Video),USJAY0100418
37,Black Beatles,Rae Sremmurd,2016,https://www.youtube.com/watch?v=b8m9zhNAgKs,174e95b79aa16e40f3797cf469924a0f1e2c64c603f66ce8aa9d4cab12b1f0ef,Rae Sremmurd - Black Beatles ft. Gucci Mane (Official Video),USUM71603293
38,Regulate,Warren G,1994,https://www.youtube.com/watch?v=1plPyJdXKIY,f4f73f00a0597b1e467d4f0fba8ed044c5fb563a7af778813532ff66dc876bc4,Warren G - Regulate (Official Music Video) ft. Nate Dogg,USPR39401366
39,X,Xzibit,2000,https://www.youtube.com/watch?v=qJxk1leG1wY,b62b49d44568ba3ecaaea2bf9dca69b9f4becd12f7753f53d9f42af012962597,Xzibit - X,USLR50000796
40,Not Like Us,Kendrick Lamar,2024,https://www.youtube.com/watch?v=H58vbez_m4E,358c3bd8f1febd7d11e16dba5f4380e3bb568bee29298809605dbd4e85ac4dcc,Kendrick Lamar - Not Like Us,USUG12400910
41,Für immer jung,Bushido,2008,https://www.youtube.com/watch?v=iWFkoUygpAU,7196d287ff48cbfb2bacdcea60d4cb80198ed7a828b04b926fa38e75c9c4ba02,BUSHIDO - Für immer jung (feat. Karel Gott) (2008) Maxi CD UNBOXING | Heavy Meta,DEFZ70800154
42,Changes,2Pac,1998,https://www.youtube.com/watch?v=eXvBjCO19QY,f3be03bd6ec21803216f1de1ccbae6eb314f2e8a0ca66f579609c1363af996da,2Pac - Changes ft. Talent,USIR10110269
43,I Need Love,LL COOL J,1987,https://www.youtube.com/watch?v=NEUX-HYRtUA,f9de6e64c8a9b2481e7ec159726df7dd7368445a38555759944394818c47b1d4,LL COOL J - I Need Love,USDJ28700009
44,Feel so Good,Mase,1997,https://www.youtube.com/watch?v=rIvEiTrq9kk,aa525690c21873c813bb9b0f82f4b6353eb32edd9e2049d5f6b68f881fc5ddaa,Mase - Feel So Good (Official Music Video) [HD],USBB40580127
45,Let Me Blow Ya Mind,Eve,2001,https://www.youtube.com/watch?v=Wt88GMJmVk0,7d9aca5b5ba6694e1ddd18ab45de5c5b4181594fec4c1fd7ad845aee858a8142,Eve - Let Me Blow Ya Mind (Official Music Video) ft. Gwen Stefani,USIR10110155
46,California Love,2Pac,1998,https://www.youtube.com/watch?v=N0VdRLdg2ng,9837a7471aea2efe52f34a8b44fb403896e03a50f962a3819b943b8617750ca5,2Pac ft. Dr. Dre and Roger Troutman - California Love (Official Music Video),USUG10702628
47,Prison Break Anthem (Ich glaub an Dich),AZAD,2005,https://www.youtube.com/watch?v=-vSbQ7d4x1o,d6f821fec793aec2dad86ec4810c3060efbb4aaf98844a1b0c9b6c55729690d8,Prison Break Anthem (Ich Glaub An Dich),DEUM70705937
48,Day 'N' Nite (Nightmare),Kid Cudi,2008,https://www.youtube.com/watch?v=VrDfSZ_6f4U,6958e8390f88f97893d7ccb3cdc96be372752175721b64c69db28a8fc44507fa,Kid Cudi - Day 'N' Nite,USUM70957500
49,Buffalo Gals,Malcolm McLaren,1992,https://www.youtube.com/watch?v=HCBN7lyLT4w,5cc185eb85f55d939e8cedf7cac07e5a9856f823c5e5dbdd875b793c4136e6eb,Malcolm McLaren - Buffalo Gals,GBAAA8200025
50,"Gravel Pit (feat. RZA, Method Man, Ghostface Killah, Raekwon & U-God)",Wu-Tang Clan,2000,https://www.youtube.com/watch?v=Of-lpfsBR8U,868497f1afd8aa3dffca4271765f39512ac30599b18350e5ddfb984e93bdafcd,Wu-Tang Clan - Gravel Pit (Official HD Video),USLR50000704
51,White Lines (Don't Do It),Grandmaster Flash,1983,https://www.youtube.com/watch?v=DwRXI-y6M9o,5da0c0f6a8a90c50a08529e90dac047b0eb7ba9557b6ba5628c9dd6f1efddb3c,Grandmaster Melle Mel [LEFT-TO-RIGHT MARK]- White Lines (Don't Don't Do It) (Off,GBAJE0609103
52,What's Luv? (feat. Ja-Rule & Ashanti),Fat Joe,2001,https://www.youtube.com/watch?v=VpvyG2NrS1Y,95b4c8cc2a6edbc8323d5a1d25972ec0f650800e716c48748073ddbdf2973937,Fat Joe - What's Luv? ft. Ashanti,USAT20110293
53,Country Grammar (Hot Shit),Nelly,2000,https://www.youtube.com/watch?v=Y5qKNlcUwKs,c7a2787cbfc56a1cef4e006d9f2854170ca720e664ea1b16eb85111b3c09612a,Nelly - Country Grammar (Hot...) (Official Music Video),USUR10080452
54,Monsta,Culcha Candela,2009,https://www.youtube.com/watch?v=VNWO5N8Vxsc,f2a106ea75328f8bfc567188e80ea584971aa6425be0cfdcbdf203d34aeb25a5,Culcha Candela - Monsta (Official Video),DEUM70903295
55,"Walk This Way (feat. Aerosmith) - 7""",Run–D.M.C.,1986,https://www.youtube.com/watch?v=4B_UYYPb-Gk,a8215cb09201e55c2c192f3eceaa63dc88af429ec631eb56a34473b0d525e3ce,RUN DMC - Walk This Way (Official HD Video) ft. Aerosmith,USAR19901588
56,Hip Hop Hooray,Naughty By Nature,1993,https://www.youtube.com/watch?v=Rz1Xn1vzOM4,f86f0e2e644edcb453afcf5852e1f7da6ceae7ac61e262b65be05484337c3c2b,Naughty by Nature - Hip Hop Hooray (Official Music Video),USTB10250031
57,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,2019,https://www.youtube.com/watch?v=r7qovpFAGrQ,17f80663eeb409ed641b68c249b1783a40ea61059f0c2f0cc4b25603317fd129,Lil Nas X - Old Town Road (Official Video) ft. Billy Ray Cyrus,USSM11902498
58,First Class,Jack Harlow,2022,https://www.youtube.com/watch?v=c9xJtmATvD4,a3447ee99b24e942090526497461073e1fa731fb1571f813add1663ef40578f4,Jack Harlow First Class(2022)-Soundtrack,USAT22203024
59,My Humps,Black Eyed Peas,2005,https://www.youtube.com/watch?v=iEe_eraFWWs,ee3f3a14e22394ad2f392193f1b553daaa4f3e5d83488b639383c2c92233548c,The Black Eyed Peas - My Humps,USIR10500771
60,See You Again (feat. Kali Uchis),"Tyler, The Creator",2017,,,,USQX91701275
61,Wolke 7,Max Herre,2012,https://www.youtube.com/watch?v=7VCbxcyKTT0,eb2ba2b476cb6964c61ca8e28d05c8d9f4bd4f93cb0798835a3ff3e01c5f8daf,Max Herre - Wolke 7 ft. Philipp Poisel,DEUM71202328
62,Now That We Found Love,Heavy D & The Boyz,1991,https://www.youtube.com/watch?v=NNEgUPKxk7A,f51efb324149bf7b4ed88db92999da94c4b441fc54d02acfde6b8b447d9bc7ec,Heavy D & The Boyz - Now That We Found Love (Official Music Video) ft. Aaron Hal,USMC19135589
63,No Diggity,Blackstreet,1996,https://www.youtube.com/watch?v=3KL9mRus19o,4e7d9a1a740c4174b494e176e1fcd09415ab5446b06ad745dabed6121b251464,Blackstreet - No Diggity (Official Music Video) ft. Dr. Dre; Queen Pen,USIR19600978
64,IMMER (MIT MAKKO),Ski Aggu,2024,https://www.youtube.com/watch?v=LMzAssOr2zE,dbf1673f38c2414273b172fbdc8af6d2a07fdfa21374609c77b67f4e45bc97c7,Joost; Ski Aggu & Otto Waalkes - Friesenjung (Official Video),DE1FB2400133
65,Paid In Full,Eric B. & Rakim,1987,https://www.youtube.com/watch?v=E7t8eoA_1jQ,cec22802aea0474ed5022bad961449eca5561aeeb7a6f1d0f50487059838d150,Eric B. & Rakim - Paid In Full,USIR28700020
66,Talkin' All That Jazz,Stetsasonic,1988,https://www.youtube.com/watch?v=2kdQ4soLcac,ed2b6c2b4662f3b2d4d301a686a8c54b58f0bf0a7f32ddfbe928241201de5071,Stetsasonic - Talkin' All That Jazz (Official Music Video),USTB10100622
67,P.I.M.P.,50 Cent,2003,https://www.youtube.com/watch?v=5qm8PH4xAss,f1ed46008366744d97c86cfe07b6c4ddd59afa27d9052a8ecfac6284019f3fb7,50 Cent - In Da Club (Official Music Video),USIR10300020
68,03' Bonnie & Clyde,JAŸ-Z,2002,https://www.youtube.com/watch?v=hl5t3TyP8aY,caf421ca2e4245f77d4ca2f7519b62627638fdf8f1e1f9c4d7116dd9dc3c5e0a,JA[LATIN CAPITAL LETTER Y WITH DIAERESIS]-Z - '03 Bonnie & Clyde ft. Beyoncé Kno,USDJ20201108
69,A-N-NA,Freundeskreis,1997,https://www.youtube.com/watch?v=qtVa-BwoZsU,9e7dc6f7b164cb8061628b2b59e04d0690f41b41066714696d120b05729a0d56,Freundeskreis - A-N-N-A,DEE869702098
70,Chabos wissen wer der Babo ist,Haftbefehl,2018,https://www.youtube.com/watch?v=phOh-nz9Nes,7a87b6a8ff6d8fe34b44ffa48bceb8317abbffc64e9d5c0eed161bd08e918857,Haftbefehl Chabos wissen wer der Babo ist - Eno Part,DEUM71800521
71,Trap Queen,Fetty Wap,2014,https://www.youtube.com/watch?v=i_kF4zLNKio,67a55efc164629b006bf9403e0ddd95c0ff17040a9408187642bb53d980e1736,Fetty Wap  - Trap Queen (Official Video) Prod. By Tony Fadd,QM7XC1400004
72,Jam On It,Newcleus,1984,https://www.youtube.com/watch?v=kxHS2_AQRXQ,96e3ab9060c6ba306c007c7892665c370a4645bebf697808e88ddd2f78ed5bfd,Newcleus - Jam On It (extended),USCCK0710020
73,Beautiful Girl,Luciano,2022,https://www.youtube.com/watch?v=Dgp8CiZuPrc,100acf39c65e1cb9eeed2a1b1f29deaae37c423f2046e65575065b7f9f6fe1ff,Luciano - Beautiful Girl (2022 music),DECE72201083
74,Kein Wort,Juju,2020,https://www.youtube.com/watch?v=69ScWmfBzFU,a6dd490b6cedc60f16ebbfaade04de3b8343c541483625dab5315e7f941c7e4d,LOREDANA & JUJU - KEIN WORT (Official Video),DEVX52000001
75,Easy,CRO,2012,https://www.youtube.com/watch?v=4wOoLLDXbDY,7056543e1719e023691cbfc1878139426fb033f873ee4066deadbf753a6c4800,CRO - Easy (Official Version),DEW921100135
76,King Kunta,Kendrick Lamar,2015,https://www.youtube.com/watch?v=hRK7PVJFbS8,32367d8e0195817259314b9d5615d171af1ddb2fb189119ad023be40e1a51cb7,Kendrick Lamar - King Kunta,USUM71502494
77,I Got 5 On It,Luniz,1995,https://www.youtube.com/watch?v=Kvv5CpePWk0,e9a98be13d68d86ca917c48fe241cc911d382085c1a2807f4bfedf527965ba03,I Got 5 On It (Clean Short Mix),USQY51024377
78,My Band,D12,2003,https://www.youtube.com/watch?v=h4eTUrunPXU,c1ca3cffe6096104f9ad2253206037888cf83671bffbd769e46f30beb3f9b049,D12 - How Come/Git Up,USIR10400103
79,I'm On One,DJ Khaled,2011,https://www.youtube.com/watch?v=Z09lYqdxqzo,19f53442b89c05104da4b86dbb82209200ea8bf01a972d3b679dfc2f1a1f5b07,DJ Khaled - I'm On One (Explicit Version) ft. Drake; Rick Ross; Lil Wayne,USCM51100126
80,Smack That,Akon,2006,https://www.youtube.com/watch?v=bKDdT_nyP54,e54ab12a6d3f326f73354a9f1817de0515e54a20cda61d81e8ce863823804277,Akon - Smack That (Official Music Video) ft. Eminem,USUM70609036
81,God's Plan,Drake,2018,https://www.youtube.com/watch?v=xpVfcZ0ZcFM,a8717eb8460fd88dce35309c2d401f41d1466ebfb838b53ad6eedaf8e461a608,Drake - God's Plan,USCM51800004
82,Ring Ring Ring (Ha Ha Hey),De La Soul,1991,https://www.youtube.com/watch?v=hm6Kkje7bBM,344ad3632486c6e84d0f78b5b96988ac02c477860b5eff4f494a1f6fe393005d,De La Soul - Ring Ring Ring (Ha Ha Hey) (Official Music Video) [HD],QMMEH2200094
83,Leider geil (Leider geil),Deichkind,2012,https://www.youtube.com/watch?v=ZPJlyRv_IGI,3d188ee747543e4a760dd764ed46bf027ea4db5f562bcd83b29001ab7e561e9a,Deichkind - Leider Geil (Official Video),DEUM71104228
84,Give It To Me,Timbaland,2007,https://www.youtube.com/watch?v=RgoiSJ23cSc,f77782b0ff49667f823acb3128398b9634361ab22c1c03a24af278a20ac26698,Timbaland - Give It To Me (Official Music Video) ft. Nelly Furtado; Justin Timbe,USUM70700995
85,Express Yourself - Remix,N.W.A.,1996,https://www.youtube.com/watch?v=u31FO_4d9TY,8d632e19bbf8b14437428f02267c21056edbc668ec60dc3435fddb6eb06f8c0b,N.W.A. - Express Yourself (Official Music Video),USPO19600015
86,Put Your Hands Where My Eyes Could See (feat. Jamal),Busta Rhymes,1997,https://www.youtube.com/watch?v=GSoQDaXh144,5983410808970961123b597af969f6a7d18d4f381eae7f4d70f5c32eee3f0aea,Busta Rhymes - Put Your Hands Where My Eyes Could See (Official Video) [Explicit,USEE19792108
87,Liebes Lied,Beginner,1998,https://www.youtube.com/watch?v=o2gRCL66uDM,4a10e4fc143d029e28871d417216a2f9cf6271fd649ad14d3b5afd41171f8884,Beginner - Liebes Lied,DEA859800190
88,Trick Me,Kelis,2003,https://www.youtube.com/watch?v=zI339U6GS9s,a58f92fc2755f55d5e71e7aecd08e2ef9e56d68cf3f9c0beb639f7dffbe8e5de,Kelis - Trick Me,USAR10301288
89,Turn Down for What,DJ Snake,2013,https://www.youtube.com/watch?v=HMUDVMiITOU,ab24a7cad29311ba5d1544fd64d19b255523bd92e44e4adabb40fc6a76143b31,DJ Snake; Lil Jon - Turn Down for What,USSM11308174
90,No Sleep Till Brooklyn,Beastie Boys,1986,https://www.youtube.com/watch?v=07Y0cy-nvAg,71335f90fa627258b8a24c5b23804877ee459155fe353d49985c441fec977c21,Beastie Boys - No Sleep Till Brooklyn,USDJ28600008
91,Endboss,Marteria,2010,https://www.youtube.com/watch?v=SuihiIFoAZg,86d6668b7939697a5b3cf23b6de85627b4ae38aedee7606549d9fc77738e83b3,Marteria - Endboss (HD),DEQ321000082
92,Ohne Dich,KASIMIR1441,2021,https://www.youtube.com/watch?v=_mmv-DuRj4I,acf12e09c2a176938d34aae727683d16869444770c93a592fb2a0c7388aeb912,HOW TO PLAY [COLLISION SYMBOL] Ohne Dich [KASIMIR1441 badmómzjay & Wildbwoys],DECE72006792
93,Ms. Jackson,Outkast,2000,https://www.youtube.com/watch?v=MYxAiK6VnXw,e9dc532460d01b3bf95dbef1ae83b5f35a82aa834b7703a6af2ad975e2b26459,Outkast - Ms. Jackson (Official HD Video),USLF20000357
94,Ohne mein Team,Bonez MC,2016,https://www.youtube.com/watch?v=8cpcnzYeKY0,1d755f38835995d598f9b76c08f2a24b00d1500bc02198c58d10ad4adb18ad9b,BONEZ MC & RAF CAMORA feat. MAXWELL - Ohne mein Team,DETX91500281
95,Tamam Tamam,Summer Cem,2018,https://www.youtube.com/watch?v=k4pyacY5wA8,4a806b7e3503f05d105560b6b10d3a8a13c03478ee93c32a52af65af4a43eea1,Summer Cem - Tamam Tamam (Rakurs & Ruslan Rost)(Car Music Video),DEA621800476
96,Sommergewitter,Pashanim,2021,https://www.youtube.com/watch?v=JKtfcK3Uw2s,c29096580329b3b4d4120feaaa0d0d4f25ef0a5f65a4566e091a8f5e9d586b82,Pashanim - Sommergewitter[CLOUD WITH LIGHTNING][VARIATION SELECTOR-16] | Moritz ,DECE72103812
97,See You Again (feat. Charlie Puth),Wiz Khalifa,2015,https://www.youtube.com/watch?v=DrosIRDN1Ho,384226300ae66df49c4f313beb3e2ae40efdd14376de96f90d94319db4af9dea,Wiz Khalifa - See You Again (feat. Charlie Puth) [Official Music Video],USAT21703595
