Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
27,Black Beatles,Rae Sremmurd,2016,https://www.youtube.com/watch?v=b8m9zhNAgKs,174e95b79aa16e40f3797cf469924a0f1e2c64c603f66ce8aa9d4cab12b1f0ef,Rae Sremmurd - Black Beatles ft. Gucci Mane (Official Video),USUM71603293
28,Don't You Want Me,The Human League,1981,https://www.youtube.com/watch?v=uPudE8nDog0,e6eb29fff4deccee9d822d9e334bed88e0f737ffa6a820401b6ad0ec1628f929,The Human League - Don't You Want Me (Official Music Video),GBAAA0200924
29,Seven Nation Army,The White Stripes,2003,https://www.youtube.com/watch?v=0J2QdDbelmY,d3694643ec152040677f55efe88fb31a430adf4f043ca988f8bdefb498a0ce0e,The White Stripes - Seven Nation Army (Official Music Video),USVT10300001
30,More Than a Feeling,Boston,1976,https://www.youtube.com/watch?v=zOILAZHf2pE,662ee489dd1a8c2ac88949662cfa059f3bf5d036c8915aa9ae15e24a5dd562dc,Boston - More Than A Feeling - Remastered,USSM17600941
31,Crank That (Soulja Boy),Soulja Boy,2007,https://www.youtube.com/watch?v=8UFIYGkROII,4a881baadb659eb0d6f66cb0bc068468875d5d526655b7c589acc53f0808b5fe,Soulja Boy Tell'em - Crank That (Soulja Boy) (Official Music Video),USUM70742048
32,You Can't Hurry Love,The Supremes,1966,https://www.youtube.com/watch?v=ovoBi3pXD_A,fc2d23805de89b0143f281a9bc7e651a98f290abacf8cd8ad88dc21aea35e4d6,The Supremes - You Can't Hurry Love (Lyric Video),USMO16600346
33,Going Underground,The Jam,1979,https://www.youtube.com/watch?v=AE1ct5yEuVY,9d52184341bb7b2d69560f59bd83ce99d1144e80570796ce350c2819bbd0204b,The Jam - Going Underground,GBAKW8001001
34,Ballroom Blitz,Sweet,1973,https://www.youtube.com/watch?v=tzuYT2VPsY8,e8ad47a0974a45d7ab4deea2cbeeb2cfc4ed660babd9f63c8da827bc718152f3,Ballroom Blitz,USCA28800090
35,Perfect Day,Lou Reed,1972,https://www.youtube.com/watch?v=9wxI4KK9ZYo,4c9c1f7ea6741dccb03558735f5c90a9f8812349dceef49b9a205d0375348feb,Lou Reed - Perfect Day (Official Audio),USRC17201946
36,Boys Don't Cry,The Cure,1979,https://www.youtube.com/watch?v=9GkVhgIeGJQ,d8203defe683ba4a4d160dd48e6735be98bbba36cd31b69d7c1df175f6347c6a,The Cure - Boys Don't Cry (Official Music Video) [HD],GBALB7800001
37,Never Gonna Give You Up,Rick Astley,1987,https://www.youtube.com/watch?v=dQw4w9WgXcQ,efa0cf5d3eb7dc217cb21290b1ab6b6ba1e5a4d4c673a3da861ee76ec4c35079,Rick Astley - Never Gonna Give You Up (Official Video) (4K Remaster),GBARL9300135
38,Funkytown,Lipps Inc.,1979,https://www.youtube.com/watch?v=hbp53NNBzTw,eb2b1c158ffa48f167b094dd5ebfdb8a3ff57de0fa8d9e5127add354b34218ca,Funkytown,USPR37902457
39,Road to Nowhere,Talking Heads,1985,https://www.youtube.com/watch?v=LQiOA7euaYA,6de41e57e82857ab58de365549485f109481b2f33e8e73d04e0c662ecf01f082,Talking Heads - Road to Nowhere (Official Video),GB01A0500079
40,Toosie Slide,Drake,2020,https://www.youtube.com/watch?v=x7IBEq9iOkc,37b93cfa77360a1807f71809c7f123965ed9d97bcf7693b5369cd75ee98bd110,Drake - Toosie Slide (Lyrics),USUG12001282
41,Mr. Vain,Culture Beat,1993,https://www.youtube.com/watch?v=VAmq5-wcLHE,66f01088a5ee4c7b5dff70303aff4b45174511c94aae748d827f52a830a6a092,Mr. Vain (Original Radio Edit),DEPT99300133
42,Sweet Child O' Mine,Guns N' Roses,1987,https://www.youtube.com/watch?v=1w7OgIMMRc4,8bbb3d50902f23f1d517b1e11021a6ce06eabef12796645bc49fab8f3c86b9f2,Guns N' Roses - Sweet Child O' Mine (Official Music Video),USGF18714809
43,Don't Stop Believin',Journey,1981,https://www.youtube.com/watch?v=VcjzHMhBtf0,b99122c32f4adb7ddbfcc4bda69bf4a8c90fa91783379f814e992ac789ca231d,Journey - Don't Stop Believin' (Live 1981: Escape Tour - 2022 HD ,USSM18100116
44,Genie In a Bottle,Christina Aguilera,1999,https://www.youtube.com/watch?v=kIDWgqDBNXA,cc8aedb31c217d8fb7de7985e4f5de12c1d6a6a96ee99a186d02eea8dfc0aab0,Christina Aguilera - Genie In A Bottle (Official Video),USRC19900032
